multiprune,pluslayer,plushead,acc1
4.0,2.0,3.0,78.668
4.0,2.0,4.0,78.722
4.0,2.0,8.0,78.804
4.0,2.0,6.0,78.6
4.0,2.0,2.0,78.622
4.0,2.0,11.0,78.638
4.0,3.0,1.0,78.744
4.0,3.0,11.0,78.78
4.0,3.0,5.0,78.948
4.0,3.0,3.0,78.702
4.0,3.0,6.0,78.816
4.0,3.0,0.0,78.676
4.0,3.0,10.0,78.616
4.0,3.0,9.0,78.358
4.0,4.0,7.0,78.858
4.0,4.0,4.0,78.888
4.0,4.0,10.0,78.416
4.0,4.0,0.0,78.688
4.0,4.0,8.0,78.668
4.0,4.0,1.0,78.836
4.0,4.0,11.0,78.702
4.0,4.0,5.0,78.63
4.0,5.0,6.0,78.946
4.0,5.0,7.0,78.74
4.0,5.0,5.0,78.892
4.0,5.0,8.0,78.814
4.0,5.0,10.0,78.962
4.0,5.0,2.0,78.728
4.0,5.0,0.0,78.672
4.0,5.0,4.0,78.748
5.0,0.0,9.0,77.19
5.0,0.0,3.0,77.708
5.0,0.0,4.0,77.694
5.0,0.0,1.0,77.244
5.0,0.0,11.0,77.39
5.0,0.0,2.0,77.002
5.0,0.0,0.0,76.874
5.0,1.0,1.0,77.772
5.0,1.0,2.0,77.456
5.0,1.0,7.0,77.25
5.0,1.0,10.0,77.68
5.0,1.0,9.0,77.378
5.0,1.0,8.0,77.444
5.0,1.0,5.0,77.236
5.0,2.0,10.0,77.78
5.0,2.0,3.0,77.348
5.0,2.0,4.0,77.62
5.0,2.0,8.0,77.656
5.0,2.0,6.0,77.272
5.0,2.0,2.0,77.382
5.0,2.0,11.0,77.168
5.0,3.0,11.0,77.728
5.0,3.0,5.0,77.78
5.0,3.0,3.0,77.508
5.0,3.0,6.0,77.714
5.0,3.0,0.0,77.522
5.0,3.0,10.0,77.626
5.0,3.0,9.0,77.208
5.0,4.0,4.0,77.572
5.0,4.0,10.0,77.138
5.0,4.0,0.0,77.462
5.0,4.0,8.0,77.604
5.0,4.0,1.0,77.754
5.0,4.0,11.0,77.362
5.0,4.0,5.0,77.476
5.0,5.0,7.0,77.532
5.0,5.0,5.0,77.724
5.0,5.0,8.0,77.732
5.0,5.0,10.0,77.86
5.0,5.0,2.0,77.514
5.0,5.0,0.0,77.64
5.0,5.0,4.0,77.54
6.0,0.0,3.0,74.972
6.0,0.0,4.0,75.034
6.0,0.0,1.0,74.914
6.0,0.0,11.0,75.02
6.0,0.0,2.0,74.502
6.0,0.0,0.0,73.992
6.0,1.0,2.0,75.25
6.0,1.0,7.0,74.652
6.0,1.0,10.0,75.042
6.0,1.0,9.0,74.984
6.0,1.0,8.0,75.072
6.0,1.0,5.0,74.99
6.0,2.0,3.0,75.068
6.0,2.0,4.0,75.04
6.0,2.0,8.0,75.184
6.0,2.0,6.0,74.826
6.0,2.0,2.0,74.512
6.0,2.0,11.0,74.576
6.0,3.0,5.0,75.578
6.0,3.0,3.0,75.064
6.0,3.0,6.0,75.332
6.0,3.0,0.0,75.092
6.0,3.0,10.0,74.922
6.0,3.0,9.0,74.682
6.0,4.0,10.0,74.466
6.0,4.0,0.0,75.16
6.0,4.0,8.0,75.408
6.0,4.0,1.0,75.296
6.0,4.0,11.0,74.73
6.0,4.0,5.0,74.858
6.0,5.0,5.0,75.494
6.0,5.0,8.0,75.296
6.0,5.0,10.0,75.648
6.0,5.0,2.0,75.09
6.0,5.0,0.0,75.188
6.0,5.0,4.0,75.288
7.0,0.0,4.0,71.962
7.0,0.0,1.0,71.438
