multiprune,headstr,pluslayer,plushead,acc1
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,7,78.848
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,8,79.056
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,9,78.878
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,11,78.776
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,0,78.92
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,1,79.06
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,3,78.994
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,4,79.008
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,6,79.034
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,9,78.552
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,10,78.792
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,3,11,78.846
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,0,78.76
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,1,78.92
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,3,79.046
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,4,78.904
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,5,78.826
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,7,79.06
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,8,79.012
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,4,10,78.774
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,0,78.924
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,1,79.07
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,2,78.928
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,4,78.914
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,5,79.038
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,7,79.116
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,8,78.972
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,5,10,78.97
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,0,77.426
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,2,77.342
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,3,77.79
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,5,77.92
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,9,77.818
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,10,78.016
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,0,11,77.902
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,0,78.152
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,2,78.046
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,5,77.632
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,7,77.938
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,8,77.726
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,9,77.914
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,1,10,77.808
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,1,77.788
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,2,77.548
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,4,77.95
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,6,77.842
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,7,77.976
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,9,77.85
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,2,11,77.848
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,0,77.99
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,3,78.142
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,4,78.228
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,6,78.166
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,9,77.664
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,10,77.878
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,3,11,77.836
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,0,77.874
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,1,77.872
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,3,78.012
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,4,77.954
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,5,77.85
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,8,77.992
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,4,10,77.826
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,0,77.898
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,1,78.14
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,2,78.084
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,4,77.998
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,5,78.138
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,8,78.106
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,5,10,78.18
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,0,75.55
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,2,75.312
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,3,75.97
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,5,76.168
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,9,76.044
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,0,11,76.004
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,2,76.328
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,5,75.436
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,7,76.028
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,8,76.184
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,9,76.12
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,1,10,75.888
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,2,1,76.096
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,2,2,75.758
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,2,4,76.138
